Internal ID,ID,Name,Email,Phone,Office Phone,Fax,Alt. Email,Web Address,Billing Address,Shipping Address,Inactive,subsidiary_id,subsidiary_name
-3,-Accountant-,,,,,,,,,,No,1,Elit Tile Consolidated
-3,-Accountant-,,,,,,,,,,No,4,Elit Tile Consolidated : International Tile and Stone Inc. (noho)
-3,-Accountant-,,,,,,,,,,No,3,Elit Tile Consolidated : Elit Tile Corp (LA)
-3,-Accountant-,,,,,,,,,,No,2,Elit Tile Consolidated : Total Home Distributors Inc.
2,Tax Agency CA,,,,,,,,,,No,1,Elit Tile Consolidated
110,V604,AMERICAN TILE RACK INC.,,,,,,,,,No,3,Elit Tile Consolidated : Elit Tile Corp (LA)
110,V604,AMERICAN TILE RACK INC.,,,,,,,,,No,4,Elit Tile Consolidated : International Tile and Stone Inc. (noho)
111,V609,APEX/CADELL,LORENA@APEXGRANITEOUTLET.COM,,,,,,,,No,4,Elit Tile Consolidated : International Tile and Stone Inc. (noho)
111,V609,APEX/CADELL,LORENA@APEXGRANITEOUTLET.COM,,,,,,,,No,3,Elit Tile Consolidated : Elit Tile Corp (LA)
112,V629,NUHEAT,RYAN.LISKE@PENTAIR.COM,(800) 778-9276,(949) 235-5945,,,,"NUHEAT
3105-6900 GRAYBAR ROAD
3105-6900 GRAYBAR ROAD RICHMOND BC V6W 0A5
Canada","NUHEAT
3105-6900 GRAYBAR ROAD
3105-6900 GRAYBAR ROAD RICHMOND BC V6W 0A5
Canada",No,3,Elit Tile Consolidated : Elit Tile Corp (LA)
112,V629,NUHEAT,RYAN.LISKE@PENTAIR.COM,(800) 778-9276,(949) 235-5945,,,,"NUHEAT
3105-6900 GRAYBAR ROAD
3105-6900 GRAYBAR ROAD RICHMOND BC V6W 0A5
Canada","NUHEAT
3105-6900 GRAYBAR ROAD
3105-6900 GRAYBAR ROAD RICHMOND BC V6W 0A5
Canada",No,4,Elit Tile Consolidated : International Tile and Stone Inc. (noho)
113,V651,ALPHA PROFESSIONAL TOOLS,RROY@ALPHA-TOOLS.COM,(800) 648-7229,,(800) 286-0114,,,"ALPHA PROFESSIONAL TOOLS
16 PARK DR. STE 9
FRANKLIN,  NJ 07416-9758
United States","ALPHA PROFESSIONAL TOOLS
16 PARK DR. STE 9
FRANKLIN,  NJ 07416-9758
United States",No,3,Elit Tile Consolidated : Elit Tile Corp (LA)
113,V651,ALPHA PROFESSIONAL TOOLS,RROY@ALPHA-TOOLS.COM,(800) 648-7229,,(800) 286-0114,,,"ALPHA PROFESSIONAL TOOLS
16 PARK DR. STE 9
FRANKLIN,  NJ 07416-9758
United States","ALPHA PROFESSIONAL TOOLS
16 PARK DR. STE 9
FRANKLIN,  NJ 07416-9758
United States",No,4,Elit Tile Consolidated : International Tile and Stone Inc. (noho)
120,V706,AEC,,,,,,,,,No,4,Elit Tile Consolidated : International Tile and Stone Inc. (noho)
121,V707,AG&M / METROQUARTZ,,,,,,,,,No,4,Elit Tile Consolidated : International Tile and Stone Inc. (noho)
121,V707,AG&M / METROQUARTZ,,,,,,,,,No,3,Elit Tile Consolidated : Elit Tile Corp (LA)
122,V708,AJ TRADING,ajtradingorderdesk@gmail.com,(714) 752-6173,,(714) 752-6287,,,"AJ TRADING
14849 NORTHAM ST
LA MIRADA CA 90638
United States","AJ TRADING
14849 NORTHAM ST
LA MIRADA CA 90638
United States",No,4,Elit Tile Consolidated : International Tile and Stone Inc. (noho)
123,V709,ALFAGRES,,,,,,,,,No,4,Elit Tile Consolidated : International Tile and Stone Inc. (noho)
124,V710,ALL ABOUT STONE,,,,,,,,,No,4,Elit Tile Consolidated : International Tile and Stone Inc. (noho)
